Gene,SRR6408410,SRR6408239,SRR6408314
gene-GABRD,0.0,0.0,0.0
gene-PRKCZ,422.88,48.52,14.72
gene-FAAP20,727.0,400.6842105263158,332.6842105263158
gene-SKI,27.0,11.5,21.5
gene-MORN1,76.5,2.0,4.0
gene-RER1,6084.0,548.0,2112.0
gene-PEX10,501.6666666666667,317.1666666666667,221.5
gene-PLCH2,33.714285714285715,26.285714285714285,8.571428571428571
gene-PANK4,1.0,5.0,24.5
gene-HES5,0.0,0.0,0.0
gene-TNFRSF14,1004.1666666666666,35.666666666666664,255.0
gene-PRXL2B,99.0,7.0,120.0
gene-MMEL1,67.0,7.0,13.0
gene-TTC34,1.0,0.0,0.0
gene-ACTRT2,0.0,0.0,0.0
gene-PRDM16,1.0,0.0,1.0
gene-ARHGEF16,0.0,0.0,0.0
gene-MEGF6,0.0,0.7142857142857143,0.0
gene-TPRG1L,0.0,27.0,24.0
gene-WRAP73,348.0,165.0,221.0
gene-TP73,0.0,1.0,1.0
gene-CCDC27,0.0,0.0,0.0
gene-SMIM1,0.0,0.0,0.0
gene-LRRC47,292.0,66.0,75.0
gene-CEP104,614.7272727272727,190.27272727272728,187.8181818181818
gene-DFFB,2.625,0.875,38.5
gene-C1orf174,1316.6666666666667,331.0,299.3333333333333
gene-AJAP1,0.75,0.75,3.75
gene-NPHP4,3.0,41.0,1.8888888888888888
gene-KCNAB2,310.84615384615387,208.76923076923077,382.46153846153845
gene-CHD5,0.0,3.0,0.0
gene-RPL22,646.0,68.0,463.0
gene-RNF207,173.0,41.0,33.0
gene-ICMT,1951.0,127.0,1902.0
gene-HES3,0.0,0.0,0.0
gene-GPR153,28.0,33.5,22.75
gene-ACOT7,6161.5,1679.75,2333.5
gene-HES2,0.0,0.0,0.0
gene-ESPN,3.6363636363636362,0.0,18.636363636363637
gene-TNFRSF25,0.0,0.0,0.8333333333333334
gene-PLEKHG5,0.125,0.0,0.125
gene-NOL9,339.0,17.166666666666668,86.5
gene-TAS1R1,0.6666666666666666,0.0,1.0
gene-ZBTB48,0.0,173.5,53.625
gene-KLHL21,269.0,8.0,237.0
gene-PHF13,1.0,11.0,9.0
gene-THAP3,468.0,231.0,231.14285714285714
gene-DNAJC11,1043.0,324.0,852.0
gene-CAMTA1,383.90697674418607,47.81395348837209,364.93023255813955
gene-VAMP3,1056.5,59.5,491.5
gene-PER3,45.74074074074074,6.444444444444445,281.962962962963
gene-UTS2,1.5,0.75,1.125
gene-TNFRSF9,0.0,0.0,0.0
gene-PARK7,16034.333333333334,573.6666666666666,3695.6666666666665
gene-ERRFI1,236.75,12.0,97.75
gene-SLC45A1,1.0,0.0,1.0
gene-RERE,388.0,113.66666666666667,119.66666666666667
gene-ENO1,64370.0,11216.0,23788.0
gene-CA6,0.0,0.0,1.0
gene-SLC2A7,1.0,0.3333333333333333,1.3333333333333333
gene-SLC2A5,2.0,2.0,1.0
gene-GPR157,14.0,1.3333333333333333,133.33333333333334
gene-H6PD,141.83333333333334,0.0,238.0
gene-SPSB1,985.0,15.0,488.0
gene-SLC25A33,738.0,55.666666666666664,346.3333333333333
gene-TMEM201,199.5,2.0,266.875
gene-PIK3CD,683.75,107.1875,83.8125
gene-CLSTN1,121.0,122.0,149.0
gene-CTNNBIP1,162.8,77.6,73.6
gene-LZIC,414.44444444444446,100.66666666666667,146.88888888888889
gene-NMNAT1,239.83333333333334,47.833333333333336,58.333333333333336
gene-RBP7,2.0,1.0,0.0
gene-UBE4B,193.125,129.375,147.875
gene-KIF1B,1004.4,65.2,799.4
gene-PGD,2658.0,229.0,688.0
gene-CENPS-CORT,854.75,98.5,125.75
gene-CENPS,857.0,106.0,124.0
gene-CORT,19.0,0.0,4.0
gene-DFFA,2628.0,524.0,1804.5
gene-PEX14,97.85714285714286,26.428571428571427,196.14285714285714
gene-CASZ1,3.857142857142857,1.0,1.2857142857142858
gene-C1orf127,1.3333333333333333,2.6666666666666665,0.0
gene-TARDBP,1356.0,106.85714285714286,1332.0
gene-MASP2,14.0,3.0,0.6666666666666666
gene-SRM,12582.0,1532.0,2940.5
gene-EXOSC10,3104.4,142.0,862.0
gene-MTOR,1636.7142857142858,37.714285714285715,422.14285714285717
gene-ANGPTL7,56.5,0.0,0.0
gene-UBIAD1,600.0,167.66666666666666,392.6666666666667
gene-DISP3,1.5,1.375,35.25
gene-FBXO2,0.0,4.0,0.0
gene-FBXO44,193.7058823529412,3.0,1.0
gene-FBXO6,7.0,170.42857142857142,82.85714285714286
gene-MAD2L2,5417.666666666667,1428.0,1250.0
gene-DRAXIN,0.0,0.25,0.0
gene-AGTRAP,2212.0,1529.0,599.0
gene-C1orf167,0.0,4.0,1.0
gene-MTHFR,1.0,0.0,1.0
gene-CLCN6,137.0,54.0,24.0
gene-NPPA,0.0,0.0,0.0
gene-NPPB,0.0,0.0,0.0
gene-KIAA2013,976.0,265.0,78.0
gene-PLOD1,390.0,1003.0,1117.0
gene-MFN2,534.0,200.0,623.0
gene-MIIP,398.0,601.5,141.5
gene-TNFRSF8,3.0,0.0,9.0
gene-TNFRSF1B,0.8333333333333334,1.0,0.0
gene-VPS13D,120.0,33.0,107.0
gene-DHRS3,2.2,0.6,0.0
gene-AADACL4,0.0,6.0,0.0
gene-AADACL3,0.0,0.0,2.0
gene-C1orf158,2.0,2.0,0.0
gene-PRAMEF12,0.0,0.0,0.0
gene-PRAMEF1,0.0,0.0,0.0
gene-PRAMEF11,0.0,0.0,0.0
gene-HNRNPCL1,48.0,3.0,27.0
gene-PRAMEF2,0.0,0.0,0.0
gene-PRAMEF4,0.0,0.0,0.0
gene-PRAMEF10,0.0,0.0,0.0
gene-PRAMEF7,0.0,0.0,0.0
gene-PRAMEF6,9.0,1.0,5.0
gene-PRAMEF27,0.0,0.0,1.0
gene-HNRNPCL3,0.0,0.0,0.0
gene-PRAMEF25,2.0,0.0,0.0
gene-HNRNPCL2,1.0,0.0,0.0
gene-PRAMEF26,1.0,0.0,1.0
gene-HNRNPCL4,0.0,0.0,0.0
gene-PRAMEF9,0.0,0.0,1.0
gene-PRAMEF13,0.0,0.0,0.0
gene-PRAMEF18,0.0,0.0,0.0
gene-PRAMEF5,0.0,0.0,1.0
gene-PRAMEF8,0.0,0.0,0.0
gene-PRAMEF33,0.0,0.0,0.0
gene-PRAMEF15,0.0,0.0,0.0
gene-PRAMEF14,0.0,0.0,0.0
gene-PRAMEF19,0.0,0.0,0.0
gene-PRAMEF17,0.0,0.0,0.0
gene-PRAMEF20,0.0,0.0,0.0
gene-LRRC38,0.0,0.0,1.0
gene-PDPN,0.0,1.0,0.0
gene-PRDM2,181.69230769230768,27.384615384615383,248.53846153846155
gene-KAZN,468.1111111111111,13.61111111111111,291.1111111111111
gene-TMEM51,370.5,16.0,144.75
gene-FHAD1,155.0487804878049,62.21951219512195,3.6097560975609757
gene-EFHD2,265.0,174.0,347.0
gene-CTRC,0.0,0.0,0.0
gene-CELA2A,51.0,7.0,31.0
gene-CELA2B,1.0,37.0,0.0
gene-CASP9,219.4,0.0,102.2
gene-DNAJC16,7.0,1.0,556.0
gene-AGMAT,1.0,0.0,1.0
gene-DDI2,149.0,41.0,338.0
gene-RSC1A1,0.0,0.0,180.0
gene-PLEKHM2,410.6,484.8,263.0
gene-SLC25A34,0.0,0.0,0.0
gene-TMEM82,0.0,0.0,0.0
gene-FBLIM1,2.9523809523809526,0.0,0.0
gene-UQCRHL,1936.0,146.0,564.0
gene-SPEN,404.0,113.0,522.0
gene-ZBTB17,493.61538461538464,478.2307692307692,133.23076923076923
gene-SRARP,0.0,0.0,0.0
gene-HSPB7,0.0,0.0,0.0
gene-CLCNKA,0.0,0.0,0.0
gene-CLCNKB,0.0,0.0,0.0
gene-FAM131C,0.0,0.0,0.0
gene-EPHA2,1.0,0.0,3.6666666666666665
gene-ARHGEF19,34.0,1.0,73.0
gene-CPLANE2,0.0,0.0,0.0
gene-FBXO42,957.5,78.0,273.5
gene-SZRD1,353.0,108.0,281.0
gene-SPATA21,9.714285714285714,0.7142857142857143,21.0
gene-NECAP2,420.0,12.0,571.0
gene-NBPF1,103.0,11.0,153.0
gene-MST1L,0.0,0.0,0.0
gene-CROCC,87.0,139.0,7.0
gene-MFAP2,0.0,128.0,0.0
gene-ATP13A2,1.0,379.0,82.0
gene-SDHB,15807.0,1129.0,6052.0
gene-PADI2,0.5,0.0,0.0
gene-PADI1,0.0,0.0,15.0
gene-PADI3,0.0,0.0,0.0
gene-PADI4,2.111111111111111,0.0,0.0
gene-PADI6,1.0,0.0,0.0
gene-RCC2,441.5,78.0,107.0
gene-ARHGEF10L,1.2608695652173914,12.608695652173912,1.1304347826086956
gene-ACTL8,0.0,0.0,0.0
gene-IGSF21,0.0,0.0,0.0
gene-KLHDC7A,0.0,0.0,5.0
gene-PAX7,0.0,0.0,2.0
gene-TAS1R2,0.0,0.0,0.0
gene-ALDH4A1,162.0,13.0,128.5
gene-IFFO2,902.0,2.0,0.0
gene-UBR4,483.5,365.5,1160.0
gene-EMC1,898.0,109.0,952.0
gene-MRTO4,1837.0,302.5,1211.5
gene-AKR7A3,6.0,7.0,7.0
gene-AKR7A2,1942.0,595.0,1151.0
gene-SLC66A1,933.0,480.0,0.0
gene-CAPZB,3447.8571428571427,302.57142857142856,1004.1428571428571
gene-MICOS10-NBL1,7124.0,1763.0,3161.0
gene-MICOS10,5243.0,1197.0,1854.0
gene-NBL1,1856.625,554.375,1290.125
gene-HTR6,0.0,0.0,0.0
gene-TMCO4,357.5,155.66666666666666,83.88888888888889
gene-RNF186,0.0,0.0,0.0
gene-OTUD3,210.6,77.8,6.0
gene-PLA2G2E,0.0,0.0,0.0
gene-PLA2G2A,0.0,0.0,0.0
gene-PLA2G5,0.8333333333333334,0.0,0.0
gene-PLA2G2D,0.0,0.0,0.0
gene-PLA2G2F,0.0,0.0,0.0
gene-PLA2G2C,0.0,0.0,0.0
gene-UBXN10,0.0,0.0,0.0
gene-VWA5B1,0.9333333333333333,0.8666666666666667,0.7333333333333333
gene-CAMK2N1,2.0,0.0,1.0
gene-MUL1,702.0,117.0,294.0
gene-FAM43B,0.0,0.0,0.0
gene-CDA,4.0,0.0,1.0
gene-PINK1,265.0,151.0,12.0
gene-DDOST,5608.0,990.0,3011.0
gene-KIF17,3.0,3.0,3.0
gene-SH2D5,0.0,0.0,1.0
gene-HP1BP3,2154.6470588235293,235.41176470588235,613.0588235294117
gene-EIF4G3,133.36,64.64,717.96
gene-ECE1,14.428571428571429,94.85714285714286,89.0
gene-NBPF3,213.88235294117646,30.11764705882353,176.23529411764707
gene-ALPL,2.7142857142857144,0.8571428571428571,0.7142857142857143
gene-RAP1GAP,4.0,374.3333333333333,84.24242424242425
gene-USP48,1010.9333333333333,118.66666666666667,588.1333333333333
gene-LDLRAD2,0.0,45.0,1.0
gene-HSPG2,136.0,98.5,126.0
gene-CELA3B,3.0,0.0,0.0
gene-CELA3A,0.0,1.0,0.0
gene-CDC42,1252.6666666666667,57.333333333333336,393.0
gene-WNT4,0.0,0.0,0.0
gene-ZBTB40,59.166666666666664,76.33333333333333,13.666666666666666
gene-EPHA8,0.875,0.0,0.0
gene-C1QA,0.0,0.0,0.0
gene-C1QC,0.0,0.0,0.0
gene-C1QB,0.0,0.0,0.0
gene-EPHB2,0.8571428571428571,0.7142857142857143,0.7142857142857143
gene-LACTBL1,0.0,1.0,0.0
gene-TEX46,0.0,0.0,0.0
gene-KDM1A,1367.0,128.0,1370.0
gene-LUZP1,908.0,232.0,465.0
gene-HTR1D,1.0,0.0,0.0
gene-HNRNPR,1561.5882352941176,110.88235294117646,652.1764705882352
gene-ZNF436,8.0,12.0,23.0
gene-TCEA3,26.0,2.0,8.0
gene-ASAP3,68.0,1.0,89.0
gene-E2F2,0.0,1.0,0.0
gene-ID3,276.0,121.0,155.0
gene-RPL11,5938.0,488.5,1783.0
gene-ELOA,4199.0,331.0,2109.0
gene-PITHD1,498.0,73.0,156.0
gene-LYPLA2,771.0,46.0,263.0
gene-GALE,3188.6666666666665,694.3333333333334,1589.3333333333333
gene-HMGCL,924.0,6.0,163.0
gene-FUCA1,687.5,103.5,816.0
gene-CNR2,9.0,3.6666666666666665,2.0
gene-PNRC2,201.5,67.0,400.0
gene-SRSF10,1146.6363636363637,346.0,2207.3636363636365
gene-MYOM3,1.0,0.0,0.0
gene-IL22RA1,0.0,0.0,0.0
gene-IFNLR1,0.0,1.0,0.0
gene-GRHL3,6.0,4.0,2.0
gene-STPG1,170.0,4.0,82.0
gene-NIPAL3,1050.421052631579,3.0,3.789473684210526
gene-RCAN3,231.0,49.6,361.8
gene-NCMAP,39.0,38.0,50.0
gene-SRRM1,1445.7555555555555,260.77777777777777,901.5111111111111
gene-CLIC4,777.0,32.0,1133.0
gene-RUNX3,822.0,24.4,468.8
gene-SYF2,796.0,96.0,127.0
gene-RSRP1,348.0,362.6666666666667,242.0
gene-RHD,660.0,29.88888888888889,213.0
gene-TMEM50A,2405.0,151.33333333333334,1166.3333333333333
gene-RHCE,1530.6363636363637,65.18181818181819,722.1818181818181
gene-MACO1,696.25,22.75,325.0
gene-LDLRAP1,517.0,14.363636363636363,290.1818181818182
gene-MAN1C1,80.875,2.625,161.875
gene-SELENON,215.0,40.0,261.0
gene-MTFR1L,775.5,224.0,786.0
gene-AUNIP,800.0,28.5,497.0
gene-PAQR7,54.0,0.0,1.0
gene-STMN1,11064.25,981.5,4731.0
gene-PAFAH2,1.875,8.0,0.0
gene-EXTL1,334.3333333333333,0.0,129.0
gene-SLC30A2,0.0,0.0,0.0
gene-TRIM63,142.5,2.5,224.5
gene-PDIK1L,5.0,0.0,17.0
gene-FAM110D,0.0,0.0,13.0
gene-C1orf232,0.0,0.0,0.0
gene-ZNF593,2625.0,1293.0,485.0
gene-CNKSR1,99.0,0.0,0.0
gene-CATSPER4,0.0,0.0,0.0
gene-CEP85,7.285714285714286,19.571428571428573,58.57142857142857
gene-SH3BGRL3,9101.0,2215.0,2399.0
gene-UBXN11,406.0,175.0,52.333333333333336
gene-CD52,0.0,0.0,0.0
gene-CRYBG2,381.0,249.0,388.0
gene-ZNF683,0.0,0.0,0.0
gene-LIN28A,0.0,0.0,1.0
gene-DHDDS,927.0,44.0,434.0
gene-HMGN2,3954.0,773.0,2967.0
gene-RPS6KA1,322.0,19.25,128.0
gene-ARID1A,174.0,116.0,91.0
gene-PIGV,1.0,9.0,80.0
gene-ZDHHC18,32.0,106.0,74.0
gene-SFN,0.0,1.0,0.0
gene-GPN2,1422.0,519.0,453.0
gene-GPATCH3,37.0,0.0,79.0
gene-NUDC,4483.666666666667,1492.6666666666667,851.1666666666666
gene-NR0B2,0.0,0.0,0.0
gene-KDF1,0.0,0.0,0.0
gene-TRNP1,0.0,1.0,25.0
gene-TENT5B,0.0,0.0,1.0
gene-SLC9A1,274.0,1.0,22.0
gene-WDTC1,2.0,87.8,23.4
gene-TMEM222,5634.0,3413.0,2271.0
gene-SYTL1,0.0,0.0,0.0
gene-MAP3K6,0.0,3.75,42.0
gene-FCN3,0.0,0.0,0.0
gene-CD164L2,0.0,0.0,0.0
gene-GPR3,577.0,340.0,505.0
gene-WASF2,921.0,255.0,286.0
gene-AHDC1,11.0,20.0,19.0
gene-FGR,0.0,0.0,0.0
gene-IFI6,267.0,98.0,183.0
gene-FAM76A,385.1666666666667,37.0,302.6666666666667
gene-STX12,654.0,36.0,236.0
gene-PPP1R8,459.0,198.75,264.0
gene-THEMIS2,137.0,1.0,0.0
gene-RPA2,915.0,172.0,1035.0
gene-SMPDL3B,0.0,0.0,0.0
gene-XKR8,590.0,0.0,101.0
gene-EYA3,1150.2307692307693,15.23076923076923,133.76923076923077
gene-PTAFR,2.5,1.0,2.0
gene-DNAJC8,3397.0,192.0,1226.0
gene-ATP5IF1,2493.0,462.0,414.0
gene-SESN2,1.0,0.0,0.0
gene-MED18,1.6666666666666667,2.0,178.33333333333334
gene-PHACTR4,62.166666666666664,74.83333333333333,122.5
gene-RCC1,2414.5,309.0,925.5
gene-TRNAU1AP,490.0,18.0,212.0
gene-RAB42,0.0,0.0,0.0
gene-TAF12,738.0,68.0,92.2
gene-GMEB1,367.5,39.625,2.875
gene-YTHDF2,3278.0,183.0,1199.3333333333333
gene-OPRD1,174.0,158.0,143.0
gene-EPB41,1011.5,215.19642857142858,355.55357142857144
gene-TMEM200B,6.0,0.3333333333333333,2.0
gene-SRSF4,391.0,285.0,297.0
gene-MECR,801.6451612903226,192.90322580645162,285.7741935483871
gene-PTPRU,1.0,0.0,369.8888888888889
gene-MATN1,0.0,10.0,0.0
gene-LAPTM5,0.0,0.0,0.0
gene-SDC3,976.5,50.5,1136.5
gene-PUM1,738.0,52.0,460.0
gene-NKAIN1,14.0,9.0,21.0
gene-SNRNP40,2791.0,310.0,996.0
gene-ZCCHC17,3926.818181818182,225.0,1600.090909090909
gene-FABP3,530.0,34.333333333333336,451.3333333333333
gene-SERINC2,333.6,0.0,79.6
gene-TINAGL1,0.0,0.0,99.66666666666667
gene-HCRTR1,347.5,17.166666666666668,85.5
gene-PEF1,3098.714285714286,140.42857142857142,762.1428571428571
gene-COL16A1,3.357142857142857,0.0,0.0
gene-ADGRB2,0.0,0.0,0.0
gene-SPOCD1,0.0,0.0,0.0
gene-PTP4A2,2123.5,167.5,1823.0
gene-KHDRBS1,1157.0,224.0,1458.0
gene-TMEM39B,222.2,55.8,2.0
gene-KPNA6,527.0,154.8,196.6
gene-TXLNA,1161.0,221.25,534.125
gene-CCDC28B,460.14285714285717,48.142857142857146,133.71428571428572
gene-TMEM234,20.625,2.25,75.9375
gene-IQCC,0.0,0.0,0.0
gene-DCDC2B,0.0,0.3333333333333333,0.0
gene-EIF3I,19893.0,1398.0,5474.5
gene-FAM167B,1237.0,90.0,389.0
gene-LCK,0.6666666666666666,0.0,0.0
gene-HDAC1,719.0,35.0,732.0
gene-MARCKSL1,3397.0,369.0,1322.0
gene-TSSK3,28.0,2.0,0.0
gene-FAM229A,0.0,1.0,0.0
gene-BSDC1,447.14285714285717,132.0,91.0
gene-ZBTB8B,1.0,3.0,41.0
gene-ZBTB8A,66.0,14.0,0.0
gene-ZBTB8OS,549.7586206896551,31.379310344827587,446.51724137931035
gene-RBBP4,3752.6666666666665,190.33333333333334,2066.6666666666665
gene-SYNC,811.8571428571429,59.285714285714285,857.1428571428571
gene-KIAA1522,38.666666666666664,0.3333333333333333,5.0
gene-YARS1,7383.5,288.0,1899.0
gene-S100PBP,358.3333333333333,9.88888888888889,55.44444444444444
gene-FNDC5,0.0,0.0,0.0
gene-HPCA,84.0,32.0,37.0
gene-TMEM54,2048.0,2051.0,699.0
gene-RNF19B,203.0,36.0,301.3333333333333
gene-AK2,5025.0,180.0,1907.0
gene-AZIN2,2.0,141.58620689655172,46.37931034482759
gene-TRIM62,8.4,1.6,72.0
gene-ZNF362,119.0,0.0,33.0
gene-A3GALT2,0.0,0.0,0.0
gene-PHC2,1681.7,7.4,1522.9
gene-ZSCAN20,0.0,0.0,53.0
gene-CSMD2,5.888888888888889,2.0,4.777777777777778
gene-HMGB4,0.3333333333333333,0.0,0.0
gene-C1orf94,0.0,0.0,2.0
gene-GJB5,0.0,0.0,0.0
gene-GJB4,0.0,0.0,0.0
gene-GJB3,0.0,0.0,0.0
gene-GJA4,0.0,0.0,0.0
gene-SMIM12,2452.25,32.0,850.375
gene-DLGAP3,2.6666666666666665,0.0,1.0
gene-TMEM35B,950.0,26.0,263.0
gene-ZMYM6,77.0,10.0,171.0
gene-ZMYM1,3.736842105263158,15.736842105263158,35.63157894736842
gene-SFPQ,1094.0,161.14285714285714,1544.857142857143
gene-ZMYM4,2996.5555555555557,222.33333333333334,989.1111111111111
gene-KIAA0319L,232.7058823529412,22.764705882352942,308.11764705882354
gene-NCDN,190.0,423.0,132.0
gene-TFAP2E,0.0,2.0,0.0
gene-PSMB2,6742.666666666667,660.0,2687.3333333333335
gene-C1orf216,9.0,207.5,518.5
gene-CLSPN,617.3333333333334,195.66666666666666,640.3333333333334
gene-AGO4,134.66666666666666,3.5,1.5
gene-AGO1,1033.125,6.0,1206.5
gene-AGO3,248.33333333333334,40.25,60.5
gene-TEKT2,0.0,0.0,0.0
gene-ADPRS,1381.0,581.0,416.0
gene-COL8A2,0.0,0.0,3.0
gene-TRAPPC3,724.0,34.0,349.0
gene-MAP7D1,1126.0,147.0,385.0
gene-THRAP3,3351.0,257.0,1431.0
gene-SH3D21,36.6,13.4,18.8
gene-EVA1B,89.0,33.0,47.0
gene-STK40,33.0,102.0,209.0
gene-LSM10,2195.0,450.0,986.0
gene-OSCP1,2.5,29.0,0.75
gene-MRPS15,4174.0,729.0,1011.0
gene-CSF3R,0.0,0.0,0.0
gene-GRIK3,0.0,0.0,2.0
gene-ZC3H12A,0.0,0.0,0.0
gene-MEAF6,1507.0,70.0,613.0
gene-SNIP1,20.0,17.0,5.0
gene-DNALI1,17.0,2.0,9.0
gene-GNL2,2464.25,142.75,694.25
gene-RSPO1,0.0,1.0,0.0
gene-C1orf109,518.0,68.6896551724138,101.0
gene-CDCA8,290.0,38.0,105.0
gene-EPHA10,0.0,0.0,0.0
gene-MANEAL,450.0,130.8,57.2
gene-YRDC,1329.0,284.0,1259.0
gene-C1orf122,693.0,197.0,519.0
gene-MTF1,63.75,15.75,5.75
gene-INPP5B,397.42857142857144,49.785714285714285,152.42857142857142
gene-SF3A3,4840.0,241.0,1615.0
gene-FHL3,600.3333333333334,225.0,527.8333333333334
gene-UTP11,2724.0,220.5,1030.0
gene-POU3F1,9.0,1.0,26.0
gene-RRAGC,222.0,13.0,133.0
gene-MYCBP,362.0,83.0,650.0
gene-GJA9,0.0,0.0,0.0
gene-RHBDL2,50.0,0.0,2.0
gene-AKIRIN1,1954.0,72.0,1085.0
gene-NDUFS5,4515.0,436.0,1096.0
gene-MACF1,1232.0,146.0,986.0
gene-KIAA0754,0.0,16.0,1.0
gene-BMP8A,1.0,8.0,11.6
gene-PABPC4,1240.0,275.0,462.0
gene-HEYL,0.0,1.0,0.0
gene-NT5C1A,0.0,0.0,1.0
gene-HPCAL4,241.0,0.0,0.0
gene-PPIE,2291.75,600.3333333333334,524.3333333333334
gene-BMP8B,73.5,36.625,19.875
gene-OXCT2,0.0,0.0,0.0
gene-TRIT1,930.2,99.4,49.8
gene-MYCL,0.0,0.0,0.0
gene-MFSD2A,320.0,190.0,511.0
gene-CAP1,5185.705882352941,233.94117647058823,3239.235294117647
gene-PPT1,9651.666666666666,551.0,4927.333333333333
gene-RLF,329.0,148.0,89.0
gene-TMCO2,0.0,0.0,0.0
gene-ZMPSTE24,1054.0,116.0,1404.0
gene-COL9A2,0.0,0.0,0.0
gene-SMAP2,163.14285714285714,28.571428571428573,275.57142857142856
gene-ZFP69B,0.0,2.0,0.0
gene-ZFP69,21.0,0.0,6.0
gene-EXO5,187.0,0.0,81.71428571428571
gene-ZNF684,98.0,0.0,17.0
gene-RIMS3,42.5,58.0,39.0
gene-NFYC,993.28,403.44,885.64
gene-KCNQ4,0.0,1.3333333333333333,0.0
gene-CITED4,0.0,0.0,0.0
gene-CTPS1,3285.5,102.0,938.6666666666666
gene-SLFNL1,1.0,30.0,0.0
gene-SCMH1,562.125,31.59375,69.96875
gene-FOXO6,0.0,0.0,0.0
gene-EDN2,0.0,0.0,0.0
gene-HIVEP3,132.7,5.3,95.0
gene-GUCA2B,0.0,0.0,0.0
gene-GUCA2A,0.0,0.0,0.0
gene-FOXJ3,100.0,77.45454545454545,579.0
gene-RIMKLA,467.0,1.0,0.0
gene-ZMYND12,15.0,0.0,6.0
gene-CCDC30,395.2307692307692,17.0,448.84615384615387
gene-PPCS,585.125,95.75,761.75
gene-PPIH,731.0,20.0,290.5
gene-YBX1,2076.0,274.0,759.0
gene-CLDN19,0.0,2.0,0.0
gene-P3H1,1161.142857142857,361.57142857142856,116.14285714285714
gene-C1orf50,180.0,23.0,14.0
gene-TMEM269,0.0,0.0,0.0
gene-SVBP,440.0,31.0,120.0
gene-ERMAP,334.8,18.8,6.2
gene-ZNF691,0.0,0.0,166.2
gene-SLC2A1,792.0,243.0,515.0
gene-FAM183A,1.0,0.0,0.0
gene-EBNA1BP2,3863.0,977.0,797.0
gene-CFAP57,3.6,1.8,1.7333333333333334
gene-TMEM125,0.0,0.0,0.0
gene-C1orf210,0.0,0.0,0.0
gene-TIE1,0.0,0.0,0.8
gene-MPL,0.0,0.0,0.0
gene-CDC20,6361.0,2082.0,3056.0
gene-ELOVL1,349.75,83.5,755.75
gene-MED8,3373.0,174.0,569.0
gene-SZT2,46.625,9.25,96.5
gene-HYI,169.0,9.0,75.6
gene-PTPRF,1.0,14.5,2.0
gene-KDM4A,225.0,43.0,66.0
gene-ST3GAL3,314.6904761904762,18.19047619047619,55.523809523809526
gene-ARTN,0.0,0.0,0.0
gene-IPO13,728.3333333333334,36.666666666666664,494.3333333333333
gene-DPH2,1368.0,88.0,652.0
gene-ATP6V0B,17821.0,3123.0,4867.0
gene-B4GALT2,674.2,72.0,95.4
gene-CCDC24,0.0,30.0,2.0
gene-SLC6A9,271.15384615384613,0.0,43.53846153846154
gene-KLF17,1195.25,99.0,392.75
gene-KLF18,0.0,0.0,0.0
gene-DMAP1,504.0,510.0,287.0
gene-ERI3,2811.153846153846,153.69230769230768,548.6153846153846
